prompt,video_url
,https://cdn.higgsfield.ai/minimax_hailuo_sample/d4da378b-8ed4-41cf-b44a-c37c47ef1fe9.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/bab52abb-09e2-4142-8aef-4612604dc456.mp4
"A sharply dressed Black man stands against a dark, indistinct background, wearing an elegant double-breasted deep red suit with a crisp white shirt and matching red tie. His hair is styled in neat cornrows, glistening subtly under a focused, soft overhead light that casts deep shadows on his serious, composed face. His hands are clasped calmly in front of him. Suddenly, from the background behind him, a subway train rushes by at high speed, bursting out of the darkness with glowing windows and roaring mechanical sounds. The sudden movement sends a gust of wind that lifts strands of his braided hair and ripples the fabric of his suit jacket. The lighting flares slightly as the train blurs past, creating vivid contrasts of light and shadow across the scene. The camera remains static, capturing the intense, silent stillness of the man contrasted by the explosive energy of the passing train, evoking a cinematic moment of poised strength and dynamic urban life.",https://cdn.higgsfield.ai/minimax_hailuo_sample/f7a6a74e-9d7b-47ec-8604-2f8862f71139.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/a4829e34-df1f-4e57-9912-2d2415a160c5.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/027faa9c-cb42-42fb-be96-e24a1ffd24ab.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/50ece6b3-a61f-4e2e-9062-968595f967fa.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/bead86cb-e17d-4aa3-857e-520a4ec43be5.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/301216be-1a10-4af6-b4e1-10b0d1c30b40.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/c165d352-83e7-46f2-a397-6fedd8d23d63.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/64975744-231c-4c8c-bca4-614cb926d90e.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/d1afa0f4-8b9e-468d-8a41-953f9a86b406.mp4
,https://cdn.higgsfield.ai/minimax_hailuo_sample/49dddb92-b290-47d3-8923-eb6820d85e14.mp4
